   0.00000000       0.00000000       0.00000000    
   9.99999978E-03  -1.20000032E-05   2.50013381E-05
   1.99999996E-02  -2.70000037E-05   9.99553522E-05
   2.99999993E-02  -4.29999709E-05   2.24826363E-04
   3.99999991E-02  -5.90000018E-05   3.99511337E-04
   4.99999970E-02  -7.29999811E-05   6.23998232E-04
   5.99999987E-02  -7.99999616E-05   8.98065104E-04
   7.00000003E-02  -9.09999362E-05   1.22217881E-03
   7.99999982E-02  -1.01000020E-04   1.59579492E-03
   8.99999961E-02  -1.06999978E-04   2.01892178E-03
   9.99999940E-02  -1.12999965E-04   2.49166181E-03
  0.109999999      -1.18999997E-04   3.01411259E-03
  0.119999997      -1.23999984E-04   3.58597864E-03
  0.129999995      -1.28999935E-04   4.20787651E-03
  0.140000001      -1.32999892E-04   4.87902202E-03
  0.149999991      -1.40000207E-04   5.59934368E-03
  0.159999996      -1.51999920E-04   6.36837725E-03
  0.170000002      -1.65000005E-04   7.18625728E-03
  0.179999992      -1.74999936E-04   8.05389136E-03
  0.189999998      -1.84000135E-04   8.97110160E-03
  0.199999988      -1.94999986E-04   9.93733387E-03
  0.209999993      -2.08000187E-04   1.09518217E-02
  0.219999999      -2.25999873E-04   1.20160133E-02
  0.229999989      -2.44000053E-04   1.31267533E-02
  0.239999995      -2.63999944E-04   1.42887011E-02
  0.250000000      -2.84000067E-04   1.55002018E-02
  0.259999990      -3.01000371E-04   1.67610347E-02
  0.269999981      -3.18999984E-04   1.80682056E-02
  0.280000001      -3.36999976E-04   1.94301382E-02
  0.289999992      -3.56000091E-04   2.08372138E-02
  0.299999982      -3.74000228E-04   2.22956557E-02
  0.310000002      -3.93000053E-04   2.38026083E-02
  0.319999993      -4.09000058E-04   2.53542010E-02
  0.329999983      -4.24999918E-04   2.69535184E-02
  0.340000004      -4.44000296E-04   2.86061894E-02
  0.349999994      -4.66999685E-04   3.03056706E-02
  0.359999985      -4.89999773E-04   3.20510268E-02
  0.370000005      -5.10999467E-04   3.38436253E-02
  0.379999995      -5.31000260E-04   3.56933251E-02
  0.389999986      -5.51000237E-04   3.75846624E-02
  0.399999976      -5.70999808E-04   3.95282619E-02
  0.409999996      -5.92999568E-04   4.15145643E-02
  0.419999987      -6.16000150E-04   4.35502641E-02
  0.429999977      -6.41000108E-04   4.56391051E-02
  0.439999998      -6.61999627E-04   4.77693193E-02
  0.449999988      -6.82999031E-04   4.99526039E-02
  0.459999979      -7.04000297E-04   5.21743968E-02
  0.469999999      -7.25000049E-04   5.44619672E-02
  0.479999989      -7.45998754E-04   5.67778386E-02
  0.489999980      -7.65999430E-04   5.91532290E-02
  0.500000000      -7.87000346E-04   6.15752973E-02
  0.509999990      -8.07000557E-04   6.40397370E-02
  0.519999981      -8.29999917E-04   6.65608123E-02
  0.529999971      -8.51000194E-04   6.91233426E-02
  0.539999962      -8.67999624E-04   7.17243925E-02
  0.550000012      -8.86999769E-04   7.43829310E-02
  0.560000002      -9.04998102E-04   7.70991966E-02
  0.569999993      -9.22998879E-04   7.98485726E-02
  0.579999983      -9.38999641E-04   8.26423466E-02
  0.589999974      -9.54999821E-04   8.54897201E-02
  0.599999964      -9.69999004E-04   8.83865282E-02
  0.610000014      -9.86000174E-04   9.13140252E-02
  0.620000005      -1.00199983E-03   9.43267569E-02
